,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
101,5f5ab17f73b8271b147a50a4,terror,4.0,3.89,amazed,5.0,2.4117,inspired,4.0,4.7553,scared,4.0,4.0363,wow,4.0,3.2692
102,5f5ab17f73b8271b147a50a4,confused,5.0,5.9513,curious,5.0,3.4483,gross,3.0,5.3692,amazed,3.0,9.9556,wonder,3.0,3.1547
103,5f5ab17f73b8271b147a50a4,ouch,4.0,12.6419,bad,5.0,5.2522,sorry,4.0,2.9685,sad,4.0,2.078,scared,5.0,3.4555
104,5f5ab17f73b8271b147a50a4,warm,5.0,2.6739,happy,5.0,2.3811,safe,5.0,2.2196,affectionate,5.0,4.1728,sweet,5.0,7.2818
105,5f5ab17f73b8271b147a50a4,funny,4.0,5.0665,aroused,4.0,7.2819,submissive,4.0,6.0913,laughing,4.0,20.885,surprised,4.0,6.4637
106,5f5ab17f73b8271b147a50a4,horribe,5.0,5.1827,shocked,5.0,3.4567,scared,5.0,2.9577,disgusted,5.0,3.2746,worried,5.0,2.8424
107,5f5ab17f73b8271b147a50a4,calm,4.0,5.5287,nothingness,4.0,4.919,fancy,4.0,3.7613,lonely,4.0,6.4051,solitude,5.0,6.5692
108,5f5ab17f73b8271b147a50a4,sad,5.0,2.6944,upset,5.0,4.5049,worry,5.0,8.8015,concern,5.0,4.1679,hope,3.0,4.7601
109,5f5ab17f73b8271b147a50a4,victory,5.0,9.9486,strong,5.0,3.6317,amazed,5.0,3.0126,power,5.0,3.4332,excite,5.0,2.5447
110,5f5ab17f73b8271b147a50a4,horrible,5.0,3.4438,terrified,5.0,5.2087,sad,5.0,2.2423,shocked,5.0,5.0629,angry,5.0,4.3239
111,5f5ab17f73b8271b147a50a4,laughter,5.0,5.5116,funny,5.0,5.6229,embarrassed,4.0,5.3661,joy,4.0,3.2819,stupid,4.0,8.1571
112,5f5ab17f73b8271b147a50a4,scared,4.0,3.7881,terror,4.0,8.3165,trapped,3.0,3.2835,funny,4.0,5.2197,curious,4.0,12.3348
126,5e0fac24500f066c547f6376,calm,4.0,6.878,excited,3.0,3.7627,hungry,4.0,2.9115,happiness,4.0,18.3861,tempted,4.0,5.1173
127,5e0fac24500f066c547f6376,nervous,4.0,19.2462,afraid,4.0,2.7138,calm,3.0,3.8646,unsure,3.0,3.0451,overwhelmed,3.0,3.1643
128,5e0fac24500f066c547f6376,shocked,5.0,5.3487,scared,4.0,2.3047,angry,5.0,2.5118,annoyed,4.0,3.4642,sad,4.0,1.9998
129,5e0fac24500f066c547f6376,sad,4.0,3.169,happy,5.0,2.3287,relieved,5.0,2.2142,nervous,5.0,2.6974,anxious,4.0,7.5163
130,5e0fac24500f066c547f6376,sick,4.0,3.3775,grossed-out,5.0,3.8463,shocked,4.0,3.3121,nervous,3.0,25.441,unsure,3.0,2.1618
131,5e0fac24500f066c547f6376,confused,3.0,18.9204,sad,3.0,3.882,scared,3.0,1.7845,confused,3.0,3.2809,calm,3.0,2.3948
132,5e0fac24500f066c547f6376,sad,4.0,2.539,unsure,3.0,2.9177,anxious,3.0,2.3501,nervous,4.0,2.3115,disappointed,4.0,6.6313
133,5e0fac24500f066c547f6376,excited,4.0,3.2886,energized,4.0,2.5282,happy,4.0,3.3802,hyper,4.0,7.2163,stoked,3.0,19.5228
134,5e0fac24500f066c547f6376,sick,4.0,3.5033,nervous,4.0,3.3518,scared,4.0,1.9806,put-off,3.0,5.1467,shocked,4.0,5.2683
135,5e0fac24500f066c547f6376,unsure,3.0,7.4882,confused,3.0,3.2947,shocked,3.0,41.6966,mad,3.0,1.8676,cnfused,3.0,3.7303
136,5e0fac24500f066c547f6376,scared,5.0,2.2956,shocked,4.0,2.5339,panicked,5.0,6.9817,nervous,5.0,2.564,frightened,5.0,3.6801
137,5e0fac24500f066c547f6376,annoyed,5.0,2.5903,surprised,3.0,2.8247,mad,4.0,2.163,nervous,2.0,3.4315,calm,2.0,4.1456
138,5e0fac24500f066c547f6376,too-fast,3.0,11.7426,unsure,3.0,2.5976,confused,3.0,2.8647,mad,3.0,1.6777,uncertain,3.0,2.4631
139,5e0fac24500f066c547f6376,scared,5.0,2.3069,nervous,5.0,2.6719,panic,5.0,2.6157,shocked,4.0,2.895,terrified,5.0,4.1131
140,5e0fac24500f066c547f6376,confused,4.0,3.1944,nervous,4.0,2.8177,scared,4.0,1.8288,unsettled,4.0,3.8156,sad,3.0,1.7131
141,5e0fac24500f066c547f6376,unsure,3.0,6.9599,confused,3.0,2.1968,fast,3.0,2.4643,calm,3.0,3.6622,sad,3.0,2.7956
142,5e0fac24500f066c547f6376,endearing,3.0,3.9707,loving,4.0,2.2297,calm,4.0,1.9474,happy,4.0,2.0615,relaxed,3.0,3.0783
143,5e0fac24500f066c547f6376,excited,4.0,8.0722,happy,3.0,9.0006,turned-on,3.0,4.2978,engaged,3.0,1.968,thrilled,3.0,3.4476
144,5e0fac24500f066c547f6376,shocked,5.0,3.8549,terrified,5.0,3.8975,scared,5.0,4.0296,overwhelmed,4.0,4.2811,anxious,4.0,2.096
145,5e0fac24500f066c547f6376,relaxed,4.0,3.1018,calm,4.0,2.0047,happy,4.0,2.1453,excited,4.0,4.2461,chill,3.0,2.5642
146,5e0fac24500f066c547f6376,sad,4.0,2.7164,angry,4.0,2.545,devastated,4.0,2.9298,heart-broken,4.0,5.4643,hurt,3.0,4.5974
147,5e0fac24500f066c547f6376,excited,4.0,2.8096,energized,4.0,2.4964,happy,4.0,2.4467,hyper,4.0,4.8993,joyous,3.0,3.7464
148,5e0fac24500f066c547f6376,nervous,5.0,8.842,terrified,5.0,2.5136,scared,5.0,2.1979,anxious,5.0,6.1494,freaked-out,5.0,3.2125
149,5e0fac24500f066c547f6376,happy,4.0,11.2888,calm,4.0,2.2464,relaxed,4.0,4.9131,bored,4.0,1.9778,glad,4.0,11.835
150,5e0fac24500f066c547f6376,happy,4.0,4.8365,calm,4.0,4.7816,joy,4.0,4.6993,nervous,2.0,10.3657,childlike,4.0,9.1818
164,60ff8160e8f2227f8b200510,interesting,4.0,5.7522,delicious,4.0,12.0757,surprising,5.0,7.7142,hungry,5.0,47.6946,excited,4.0,11.198
165,60ff8160e8f2227f8b200510,proud,5.0,3.6472,scared,4.0,4.7186,excited,5.0,9.4714,curious,5.0,8.0908,happy,4.0,5.1021
166,60ff8160e8f2227f8b200510,angry,5.0,7.4828,afraid,5.0,8.9308,sadness,5.0,6.6883,frustration,5.0,5.7507,pain,5.0,6.8996
167,60ff8160e8f2227f8b200510,happiness,5.0,4.9048,hopeful,5.0,3.3906,calm,5.0,6.8159,content,5.0,3.2521,excited,4.0,24.8428
168,60ff8160e8f2227f8b200510,disgusted,5.0,5.8189,scared,5.0,3.9788,angry,5.0,3.781,afraid,5.0,3.3914,pained,5.0,2.8619
169,60ff8160e8f2227f8b200510,happiness,5.0,4.2338,pride,5.0,4.5013,excited,5.0,5.8984,togetherness,5.0,15.1564,interested,4.0,25.4121
170,60ff8160e8f2227f8b200510,curious,5.0,2.9073,happy,5.0,3.7215,safe,5.0,18.2418,kindness,4.0,5.9837,calm,4.0,8.2153
171,60ff8160e8f2227f8b200510,confused,4.0,5.1379,amused,5.0,2.7766,happiness,4.0,4.101,rejected,5.0,57.9645,hestitate,4.0,4.4889
172,60ff8160e8f2227f8b200510,pain,5.0,4.5235,excite,5.0,4.6994,afraid,5.0,2.8172,frustrate,5.0,7.0399,upset,5.0,6.8047
173,60ff8160e8f2227f8b200510,jealous,5.0,4.8389,upset,5.0,2.2861,frustrate,5.0,4.527,distress,5.0,5.9229,fatigue,4.0,11.0159
174,60ff8160e8f2227f8b200510,excite,5.0,2.7835,fear,5.0,4.7011,frightened,5.0,21.0,infuriated,5.0,13.5243,panic,5.0,9.9181
175,60ff8160e8f2227f8b200510,frustrated,5.0,4.2219,happy,5.0,7.0147,thrill,5.0,7.93,concern,4.0,17.8146,comfort,4.0,2.8717
176,60ff8160e8f2227f8b200510,upset,5.0,4.9498,disgusted,5.0,3.4421,contempt,5.0,4.5999,frustration,5.0,3.4364,annoyed,4.0,18.5421
177,60ff8160e8f2227f8b200510,fear,5.0,3.0151,thrill,5.0,2.8186,excite,5.0,4.5879,uncertain,5.0,5.2207,terrified,5.0,12.1671
178,60ff8160e8f2227f8b200510,intrigued,5.0,5.567,interested,5.0,5.0345,excited,5.0,4.0429,fascinated,5.0,26.2384,delight,4.0,18.3406
179,60ff8160e8f2227f8b200510,scared,5.0,4.2679,sadness,5.0,2.7454,terrified,5.0,3.0515,upset,5.0,2.8379,angry,4.0,4.3521
180,60ff8160e8f2227f8b200510,loved,4.0,2.749,content,5.0,2.4915,joy,5.0,2.7535,calm,5.0,3.8016,peace,5.0,2.5068
181,60ff8160e8f2227f8b200510,excite,5.0,6.6221,intrigued,5.0,7.3669,touched,4.0,8.2973,delight,4.0,8.5805,warm,5.0,14.0461
182,60ff8160e8f2227f8b200510,terrified,5.0,6.0127,fear,5.0,3.102,upset,5.0,6.6656,angry,5.0,3.5178,afraid,5.0,2.5205
