,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
78,5e0fac24500f066c547f6376,sad,4,3.169,happy,5,2.3287,relieved,5,2.2142,nervous,5,2.6974,anxious,4,7.5163
79,5e0fac24500f066c547f6376,sick,4,3.3775,grossed-out,5,3.8463,shocked,4,3.3121,nervous,3,25.441,unsure,3,2.1618
80,5e0fac24500f066c547f6376,confused,3,18.9204,sad,3,3.882,scared,3,1.7845,confused,3,3.2809,calm,3,2.3948
81,5e0fac24500f066c547f6376,sad,4,2.539,unsure,3,2.9177,anxious,3,2.3501,nervous,4,2.3115,disappointed,4,6.6313
82,5e0fac24500f066c547f6376,excited,4,3.2886,energized,4,2.5282,happy,4,3.3802,hyper,4,7.2163,stoked,3,19.5228
83,5e0fac24500f066c547f6376,sick,4,3.5033,nervous,4,3.3518,scared,4,1.9806,put-off,3,5.1467,shocked,4,5.2683
84,5e0fac24500f066c547f6376,unsure,3,7.4882,confused,3,3.2947,shocked,3,41.6966,mad,3,1.8676,confused,3,3.7303
85,5e0fac24500f066c547f6376,scared,5,2.2956,shocked,4,2.5339,panicked,5,6.9817,nervous,5,2.564,frightened,5,3.6801
86,5e0fac24500f066c547f6376,annoyed,5,2.5903,surprised,3,2.8247,mad,4,2.163,nervous,2,3.4315,calm,2,4.1456
87,5e0fac24500f066c547f6376,too-fast,3,11.7426,unsure,3,2.5976,confused,3,2.8647,mad,3,1.6777,uncertain,3,2.4631
88,5e0fac24500f066c547f6376,scared,5,2.3069,nervous,5,2.6719,panic,5,2.6157,shocked,4,2.895,terrified,5,4.1131
89,5e0fac24500f066c547f6376,confused,4,3.1944,nervous,4,2.8177,scared,4,1.8288,unsettled,4,3.8156,sad,3,1.7131
90,5e0fac24500f066c547f6376,unsure,3,6.9599,confused,3,2.1968,fast,3,2.4643,calm,3,3.6622,sad,3,2.7956
91,5e0fac24500f066c547f6376,endearing,3,3.9707,loving,4,2.2297,calm,4,1.9474,happy,4,2.0615,relaxed,3,3.0783
92,5e0fac24500f066c547f6376,excited,4,8.0722,happy,3,9.0006,turned-on,3,4.2978,engaged,3,1.968,thrilled,3,3.4476
93,5e0fac24500f066c547f6376,shocked,5,3.8549,terrified,5,3.8975,scared,5,4.0296,overwhelmed,4,4.2811,anxious,4,2.096
94,5e0fac24500f066c547f6376,relaxed,4,3.1018,calm,4,2.0047,happy,4,2.1453,excited,4,4.2461,chill,3,2.5642
95,5e0fac24500f066c547f6376,sad,4,2.7164,angry,4,2.545,devastated,4,2.9298,heart-broken,4,5.4643,hurt,3,4.5974
96,5e0fac24500f066c547f6376,excited,4,2.8096,energized,4,2.4964,happy,4,2.4467,hyper,4,4.8993,joyous,3,3.7464
97,5e0fac24500f066c547f6376,nervous,5,8.842,terrified,5,2.5136,scared,5,2.1979,anxious,5,6.1494,freaked-out,5,3.2125
98,5e0fac24500f066c547f6376,happy,4,11.2888,calm,4,2.2464,relaxed,4,4.9131,bored,4,1.9778,glad,4,11.835
99,5e0fac24500f066c547f6376,happy,4,4.8365,calm,4,4.7816,joy,4,4.6993,nervous,2,10.3657,childlike,4,9.1818
100,60ff8160e8f2227f8b200510,interesting,4,5.7522,delicious,4,12.0757,surprising,5,7.7142,hungry,5,47.6946,excited,4,11.198
101,60ff8160e8f2227f8b200510,proud,5,3.6472,scared,4,4.7186,excited,5,9.4714,curious,5,8.0908,happy,4,5.1021
102,60ff8160e8f2227f8b200510,angry,5,7.4828,afraid,5,8.9308,sadness,5,6.6883,frustration,5,5.7507,pain,5,6.8996
103,60ff8160e8f2227f8b200510,happiness,5,4.9048,hopeful,5,3.3906,calm,5,6.8159,content,5,3.2521,excited,4,24.8428
104,60ff8160e8f2227f8b200510,disgusted,5,5.8189,scared,5,3.9788,angry,5,3.781,afraid,5,3.3914,pained,5,2.8619
105,60ff8160e8f2227f8b200510,happiness,5,4.2338,pride,5,4.5013,excited,5,5.8984,togetherness,5,15.1564,interested,4,25.4121
106,60ff8160e8f2227f8b200510,curious,5,2.9073,happy,5,3.7215,safe,5,18.2418,kindness,4,5.9837,calm,4,8.2153
107,60ff8160e8f2227f8b200510,confused,4,5.1379,amused,5,2.7766,happiness,4,4.101,rejected,5,57.9645,hesitate,4,4.4889
108,60ff8160e8f2227f8b200510,pain,5,4.5235,excite,5,4.6994,afraid,5,2.8172,frustrate,5,7.0399,upset,5,6.8047
109,60ff8160e8f2227f8b200510,jealous,5,4.8389,upset,5,2.2861,frustrate,5,4.527,distress,5,5.9229,fatigue,4,11.0159
110,60ff8160e8f2227f8b200510,excite,5,2.7835,fear,5,4.7011,frightened,5,21.0,infuriated,5,13.5243,panic,5,9.9181
111,60ff8160e8f2227f8b200510,frustrated,5,4.2219,happy,5,7.0147,thrill,5,7.93,concern,4,17.8146,comfort,4,2.8717
112,60ff8160e8f2227f8b200510,upset,5,4.9498,disgusted,5,3.4421,contempt,5,4.5999,frustration,5,3.4364,annoyed,4,18.5421
113,60ff8160e8f2227f8b200510,fear,5,3.0151,thrill,5,2.8186,excite,5,4.5879,uncertain,5,5.2207,terrified,5,12.1671
114,60ff8160e8f2227f8b200510,intrigued,5,5.567,interested,5,5.0345,excited,5,4.0429,fascinated,5,26.2384,delight,4,18.3406
115,60ff8160e8f2227f8b200510,scared,5,4.2679,sadness,5,2.7454,terrified,5,3.0515,upset,5,2.8379,angry,4,4.3521
116,60ff8160e8f2227f8b200510,loved,4,2.749,content,5,2.4915,joy,5,2.7535,calm,5,3.8016,peace,5,2.5068
117,60ff8160e8f2227f8b200510,excite,5,6.6221,intrigued,5,7.3669,touched,4,8.2973,delight,4,8.5805,warm,5,14.0461
118,60ff8160e8f2227f8b200510,terrified,5,6.0127,fear,5,3.102,upset,5,6.6656,angry,5,3.5178,afraid,5,2.5205
119,60ff8160e8f2227f8b200510,calm,5,3.232,bored,5,3.386,content,4,2.8267,enjoy,4,21.3842,envious,4,16.131
120,60ff8160e8f2227f8b200510,sadness,5,3.565,pained,5,2.5615,upset,5,4.0347,hurt,5,3.2026,humiliated,5,5.2172
121,60ff8160e8f2227f8b200510,excited,5,3.6641,happiness,5,5.1516,joy,5,2.8916,energized,5,3.6182,victorious,5,9.3127
122,60ff8160e8f2227f8b200510,terrified,5,5.3303,sadness,5,3.179,angry,5,2.9684,upset,5,3.3016,grieved,5,5.7343
123,60ff8160e8f2227f8b200510,humiliated,5,4.0485,excited,5,6.6213,frustration,5,3.2063,determined,5,3.092,energized,5,4.8551
124,60ff8160e8f2227f8b200510,scared,5,33.1312,uncertain,4,6.314,terrified,5,4.1878,afraid,5,4.5511,upset,5,4.2337
125,5deb0be47d91c323213e752b,grossed-out,5,8.1596,disgusted,5,4.0873,curious,3,7.353,loss-of-appetite,4,18.6808,anxious,2,30.2269
126,5deb0be47d91c323213e752b,neutral,5,8.7611,annoyed,2,4.5386,indifferent,4,4.972,apathetic,4,5.2045,disgusted,3,5.9381
127,5deb0be47d91c323213e752b,surprised,5,2.8946,angry,4,5.2714,confused,5,3.9391,curious,5,3.6389,sad,4,6.1042
128,5deb0be47d91c323213e752b,heart-warming,5,4.3236,hopeful,4,11.9702,surprised,3,5.4374,concerned,2,14.8517,happy,3,16.5166
129,5deb0be47d91c323213e752b,disgusted,5,4.7639,loss-of-appetite,5,5.6918,angry,3,2.8575,grossed-out,5,9.5754,upset,3,3.5572
130,5deb0be47d91c323213e752b,neutral,5,3.8222,indifferent,5,3.3879,apathetic,5,10.7781,passive,5,2.8245,congratulatory,3,6.2039
