,participant,word1,rating1,word2,rating2,word3,rating3,word4,rating4,word5,rating5
129,61279265d5e72d7707846ba7,russia,3.0,dog,5.0,ice,5.0,rescue,5.0,cold,5.0
130,61279265d5e72d7707846ba7,disgusting,4.0,vomit,5.0,woman,5.0,hangover,5.0,nasty,4.0
131,61279265d5e72d7707846ba7,happy,5.0,win,5.0,game,5.0,women,5.0,match,4.0
132,61279265d5e72d7707846ba7,bird,4.0,rescue,4.0,care,4.0,help,4.0,pelican,3.0
133,61279265d5e72d7707846ba7,embarrasing,3.0,shade,2.0,lady,4.0,cap,4.0,man,3.0
134,61279265d5e72d7707846ba7,accident,4.0,skateboard,5.0,fall,5.0,male,4.0,snow,3.0
135,61279265d5e72d7707846ba7,money,5.0,beautiful,5.0,calm,4.0,female,4.0,hot,5.0
136,61279265d5e72d7707846ba7,terrifying,5.0,crazy,5.0,car,5.0,train,5.0,risk-taker,2.0
137,61279265d5e72d7707846ba7,pedestrian,4.0,camera,4.0,recording,4.0,complaining,4.0,upset,4.0
138,61279265d5e72d7707846ba7,annoyed,4.0,politician,5.0,prime-minister,4.0,tired,2.0,over-it,2.0
139,61279265d5e72d7707846ba7,risk-taker,3.0,scary,3.0,thrilling,3.0,biking,4.0,dangerous,3.0
140,61279265d5e72d7707846ba7,scary,4.0,confused,5.0,wheel-chair,3.0,people,3.0,fingers,4.0
141,61279265d5e72d7707846ba7,fire,4.0,houses,4.0,smoke,4.0,burning,4.0,flames,4.0
142,61279265d5e72d7707846ba7,beautiful,5.0,couple,5.0,elderly,4.0,happy,5.0,comforting,2.0
143,61279265d5e72d7707846ba7,pleasure,5.0,oral-sex,5.0,fellatio,4.0,orgasim,5.0,exciting,4.0
144,61279265d5e72d7707846ba7,accident,5.0,night,4.0,car,4.0,death,4.0,road-kill,3.0
145,61279265d5e72d7707846ba7,cosy,4.0,taxi,3.0,restaurant,4.0,window,3.0,chairs,3.0
146,61279265d5e72d7707846ba7,dog,4.0,wounded,4.0,grass,4.0,limping,2.0,sad,4.0
147,61279265d5e72d7707846ba7,exciting,5.0,game,5.0,jump,4.0,run,4.0,happy,5.0
148,61279265d5e72d7707846ba7,crash,4.0,airplane,4.0,scary,4.0,terrifying,3.0,fire,2.0
149,61279265d5e72d7707846ba7,race,4.0,marathon,4.0,lack-lustre,2.0,happy,4.0,finish,4.0
150,61279265d5e72d7707846ba7,funny,5.0,scary,3.0,kid,4.0,frighten,2.0,tough,2.0
164,5afbf02302b1b5000103e313,chocolate,5.0,dessert,4.0,exciting,3.0,revealing,3.0,tasty,3.0
165,5afbf02302b1b5000103e313,war,4.0,american,3.0,flag,3.0,japan,3.0,winning,3.0
166,5afbf02302b1b5000103e313,assault,4.0,men,4.0,bus,3.0,hit,4.0,unprovoked,3.0
167,5afbf02302b1b5000103e313,rescue,5.0,dog,3.0,ice,4.0,floating,3.0,ship,3.0
168,5afbf02302b1b5000103e313,woman,5.0,vomiting,5.0,floor,4.0,lying,3.0,flat,3.0
