,vid_name,word
767,1826.mp4,standoffish
768,1826.mp4,disinterest
769,1826.mp4,weird
771,1826.mp4,interest
773,1826.mp4,calm
774,1826.mp4,yummi
775,1826.mp4,wonder
776,1826.mp4,satisfi
777,1826.mp4,pleas
778,1826.mp4,desir
779,1826.mp4,rob
781,1826.mp4,surpris
783,1826.mp4,hungri
786,1826.mp4,neat
787,1826.mp4,culinari
791,1826.mp4,amaz
793,2090.mp4,justic
794,2090.mp4,distast
795,2090.mp4,annoy
796,2090.mp4,bust
797,2090.mp4,scare
798,2090.mp4,anger
799,2090.mp4,necess
800,2090.mp4,funni
801,2090.mp4,happi
802,2090.mp4,tension
803,2090.mp4,confus
804,2090.mp4,whoop
805,2090.mp4,dumb
806,2090.mp4,satisfi
807,2090.mp4,aggres
808,2090.mp4,idiot
809,2090.mp4,illeg
810,2090.mp4,surpris
811,2090.mp4,reveng
813,2090.mp4,irrit
814,2090.mp4,concern
815,2090.mp4,sad
816,2090.mp4,incredul
819,2090.mp4,pleas
820,2120.mp4,thrill
821,2120.mp4,extrem
822,2120.mp4,danger
823,2120.mp4,scari
824,2120.mp4,close
825,2120.mp4,forebod
826,2120.mp4,reliev
828,2120.mp4,anticipatori
829,2120.mp4,surpris
831,2120.mp4,selfish
832,2120.mp4,anxieti
833,2120.mp4,dumbfound
834,2120.mp4,anxiou
835,2120.mp4,relief
836,2120.mp4,worri
837,2120.mp4,fear
840,2120.mp4,stupid
841,2120.mp4,insan
842,2120.mp4,scare
845,2120.mp4,escap
846,2120.mp4,shock
849,2120.mp4,terrifi
850,2120.mp4,concern
851,2120.mp4,riski
852,2120.mp4,dam
