,word,version,vid
432,bus,1,3
433,boys,1,3
434,hit,1,3
435,boys,1,3
436,walking,1,3
437,man,1,3
438,door,1,3
439,working,1,3
440,footage,1,3
441,customers,1,3
442,shop,1,3
443,que,1,3
444,buying,1,3
445,bus-driver,1,3
446,punch,1,3
447,anger,1,3
448,attack,1,3
449,men,1,3
450,bus,1,3
451,punch,1,3
452,saddening,1,3
453,enraging,1,3
454,ran,1,3
455,attack,1,3
456,violence,1,3
457,punch,1,3
458,unprovoked,1,3
459,violence,1,3
460,attack,1,3
461,assault,1,3
462,bus,1,3
463,crime,1,3
464,anger,1,3
465,mean,1,3
466,aggressive,1,3
467,selfish,1,3
468,sad,1,3
469,disgusting,1,3
470,bus,1,3
471,driver,1,3
472,men,1,3
473,assault,1,3
474,night,1,3
475,assault,1,3
476,security,1,3
477,violence,1,3
478,abuse,1,3
479,injury,1,3
480,table,1,3
481,desk,1,3
482,chair,1,3
483,working,1,3
484,men,1,3
485,wrong,1,3
486,why,1,3
487,calm,1,3
488,run,1,3
489,where,1,3
490,cctv,1,3
491,bus,1,3
492,random,1,3
493,violence,1,3
494,driver,1,3
495,bastard,1,3
496,thug,1,3
497,scum,1,3
498,violence,1,3
499,enraging,1,3
500,upset,2,3
501,horrified,2,3
502,taken-aback,2,3
503,disappointed,2,3
504,shocked,2,3
505,shocked,2,3
506,appalled,2,3
507,astonished,2,3
508,stunned,2,3
509,frightened,2,3
510,shock,2,3
511,confused,2,3
512,angry,2,3
513,disgust,2,3
514,mad,2,3
515,shocked,2,3
516,scared,2,3
517,angry,2,3
518,annoyed,2,3
519,sad,2,3
520,angry,2,3
521,afraid,2,3
522,sadness,2,3
523,frustration,2,3
524,pain,2,3
525,surprised,2,3
526,angry,2,3
527,confused,2,3
528,curious,2,3
529,sad,2,3
530,sad,2,3
531,mad,2,3
532,sadness,2,3
533,angry,2,3
534,afraid,2,3
535,anger,2,3
536,disgust,2,3
537,sick,2,3
538,agitated,2,3
539,irritated,2,3
540,shocked,2,3
541,violence,2,3
542,disrespectful,2,3
543,barbaric,2,3
544,confused,2,3
545,disgusted,2,3
546,sick,2,3
547,cowardly,2,3
548,evil,2,3
549,revengeful,2,3
550,disgusted,2,3
551,afraid,2,3
552,disappointed,2,3
553,angry,2,3
554,annoyed,2,3
555,anger,2,3
556,disgust,2,3
557,sadness,2,3
558,inquiring,2,3
559,annoyed,2,3
560,angry,2,3
561,upset,2,3
562,disgusted,2,3
563,wounded,2,3
564,sadness,2,3
565,annoyed,2,3
566,angry,2,3
567,incredulous,2,3
568,amazed,2,3
569,curious,2,3
570,confused,2,3
571,afraid,2,3
572,questionable,2,3
573,sad,2,3
574,sympathetic,2,3
575,anger,2,3
576,indignant,2,3
577,horrified,2,3
578,distressed,2,3
579,contempt,2,3
580,disgusted,2,3
581,angry,2,3
582,upset,2,3
583,dismayed,2,3
584,appalled,2,3
585,angry,2,3
586,worried,2,3
587,nonsense,2,3
588,crime,2,3
589,hate,2,3
590,angry,2,3
591,sad,2,3
592,worried,2,3
593,empathy,2,3
594,annoyed,2,3
595,shock,2,3
596,disgust,2,3
597,anger,2,3
598,sympathy,2,3
599,annoyed,2,3
600,rescue,1,4
601,boat,1,4
602,dog,1,4
603,iceberg,1,4
604,water,1,4
605,saviour,1,4
606,dog,1,4
607,men,1,4
608,ship,1,4
609,freezing,1,4
610,ice,1,4
611,cold,1,4
612,stuck,1,4
613,rescue,1,4
614,floating,1,4
615,russia,1,4
616,dog,1,4
617,ice,1,4
618,rescue,1,4
619,cold,1,4
620,rescue,1,4
621,dog,1,4
622,ice,1,4
623,floating,1,4
624,ship,1,4
625,stranded,1,4
626,lonely,1,4
627,scared,1,4
628,hopeful,1,4
629,lucky,1,4
630,rescue,1,4
631,dogs,1,4
632,sailors,1,4
633,iceberg,1,4
634,boat,1,4
635,ice,1,4
636,ship,1,4
637,dog,1,4
638,ocean,1,4
639,men,1,4
640,dog,1,4
641,snow,1,4
642,rescue,1,4
643,ship,1,4
644,man,1,4
645,dog,1,4
646,ice,1,4
647,boat,1,4
648,save,1,4
649,global-warming,1,4
650,swimming,1,4
651,saving,1,4
652,dog,1,4
653,ice,1,4
654,wholesome,1,4
655,rescue,1,4
656,love,1,4
657,dog,1,4
658,best-friend,1,4
659,cold,1,4
660,rescue,1,4
661,help,1,4
662,cold,1,4
663,compassion,1,4
664,solitary,1,4
665,kind,1,4
666,helpful,1,4
667,caring,1,4
668,cold,1,4
669,nice,1,4
670,goat,1,4
671,ice,1,4
672,sea,1,4
673,rescue,1,4
674,boat,1,4
675,ice,1,4
676,rescue,1,4
677,determination,1,4
678,animal,1,4
679,ocean,1,4
680,swimming,1,4
681,boat,1,4
682,goat,1,4
683,rescue,1,4
684,men,1,4
685,cold,1,4
686,freezing,1,4
687,scared,1,4
688,ice,1,4
689,sea,1,4
690,dog,1,4
691,rescue,1,4
692,found,1,4
693,cold,1,4
694,ice,1,4
695,kind,1,4
696,caring,1,4
697,rescue,1,4
698,heartwarming,1,4
699,dog,1,4
700,anxious,2,4
701,nervous,2,4
702,satisfied,2,4
703,curious,2,4
704,compassion,2,4
705,empathetic,2,4
706,warmth,2,4
707,relief,2,4
708,happiness,2,4
709,joy,2,4
710,sad,2,4
711,hopeful,2,4
712,safe,2,4
713,intrigued,2,4
714,relief,2,4
715,sad,2,4
716,happy,2,4
717,relieved,2,4
718,nervous,2,4
719,anxious,2,4
720,happiness,2,4
721,hopeful,2,4
722,calm,2,4
723,content,2,4
724,excited,2,4
725,heartwarming,2,4
726,hopeful,2,4
727,surprised,2,4
728,concerned,2,4
729,happy,2,4
730,happy,2,4
731,cold,2,4
732,scared,2,4
733,na,2,4
734,na,2,4
735,inspired,2,4
736,hopeful,2,4
737,relief,2,4
738,happy,2,4
739,admiration,2,4
740,faith,2,4
741,humanity,2,4
742,cute,2,4
743,freezing,2,4
744,polar,2,4
745,wonderful,2,4
746,happy,2,4
747,love,2,4
748,humankind,2,4
749,delighted,2,4
750,happy,2,4
751,thankful,2,4
752,entertained,2,4
753,impressed,2,4
754,joy,2,4
755,relief,2,4
756,caring,2,4
757,worry,2,4
758,hopefull,2,4
759,bewildered,2,4
760,motivated,2,4
761,happiness,2,4
762,encouraged,2,4
763,pleased,2,4
764,comforted,2,4
765,intrigued,2,4
766,interested,2,4
767,amused,2,4
768,happy,2,4
769,curious,2,4
770,happy,2,4
771,hopeful,2,4
772,joy,2,4
773,sadness,2,4
774,lonely,2,4
775,hopeful,2,4
776,thankful,2,4
777,relieved,2,4
778,pleased,2,4
779,curious,2,4
780,happy,2,4
781,perplexed,2,4
782,wondering,2,4
783,relieved,2,4
784,cold,2,4
785,happy,2,4
786,calm,2,4
787,love,2,4
788,caring,2,4
789,right,2,4
790,relief,2,4
791,worried,2,4
792,reassured,2,4
793,proud,2,4
794,grateful,2,4
795,on-tenderhooks,2,4
796,glad,2,4
797,suprised,2,4
798,captivated,2,4
799,happy-end,2,4
800,woman,1,5
801,floor,1,5
802,sick,1,5
803,vomiting,1,5
804,unwell,1,5
805,woman,1,5
806,sick,1,5
807,disgusting,1,5
808,floor,1,5
809,dress,1,5
810,disgusting,1,5
811,sick,1,5
812,graphic,1,5
813,puking,1,5
814,horrible,1,5
815,disgusting,1,5
816,vomit,1,5
817,woman,1,5
818,hangover,1,5
819,nasty,1,5
820,woman,1,5
821,vomiting,1,5
822,floor,1,5
823,lying,1,5
824,flat,1,5
825,disgusting,1,5
826,sick,1,5
827,hangover,1,5
828,weak,1,5
829,unwell,1,5
830,funeral,1,5
831,church,1,5
832,woman,1,5
833,vomit,1,5
834,crying,1,5
835,woman,1,5
836,vomit,1,5
837,floor,1,5
838,flowers,1,5
839,sick,1,5
840,woman,1,5
841,vomiting,1,5
842,floor,1,5
843,floor,1,5
844,black-dress,1,5
845,vomit,1,5
846,food-poisoning,1,5
847,drunk,1,5
848,prone,1,5
849,floor,1,5
850,puking,1,5
851,disgusting,1,5
852,woman,1,5
853,floor,1,5
854,blonde,1,5
855,disgusting,1,5
856,vomiting,1,5
857,vomit,1,5
858,sick,1,5
859,fetish,1,5
860,sick,1,5
861,gross,1,5
862,vomit,1,5
863,grim,1,5
864,foul,1,5
865,nasty,1,5
866,disgusting,1,5
867,sickening,1,5
868,repulsive,1,5
869,unwell,1,5
870,woman,1,5
871,vomit,1,5
872,party,1,5
873,lting-down,1,5
874,black-dress,1,5
875,vomiting,1,5
876,floor,1,5
877,sick,1,5
878,woman,1,5
879,intoxicated,1,5
880,vomit,1,5
881,woman,1,5
882,floor,1,5
883,dress,1,5
884,blonde,1,5
885,drunk,1,5
886,sick,1,5
887,pain,1,5
888,embarrassment,1,5
